45,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…"
46,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…"
47,"an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC45 #CannabisAct"
48,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…"
49,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…"
50,"RT @MidasLetter: VIDEO: What Passing of Bill C-45 means for Valens GroWorks Corp @ValensGroWorks (CNSX:VGW) https://t.co/y7p9Nc1kUL

#Canna…"
51,Make sure you come see POSRG in Niagara Falls at #GrowUp18 booth #423. Well done guys. #acmpr #CannabisAct https://t.co/uWuDgxilKq
52,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…
53,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…"
54,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…"
55,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…"
56,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…"
57,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…"
58,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…"
59,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…"
60,"RT @JodieEmery: The work's not done yet: legal pot advocate

“Pot advocate Jodie Emery says the vote may be historic, but for lawyers, civi…"
61,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…"
62,Hear the great news from our neighbors to the north? Congrats!Contact for private sale. #Canada #CannabisAct… https://t.co/4iHYbwsfdE
63,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…"
64,RT @HealthQuoteCA: Medical Marijuana: All Smoke and Mirrors or Valid Health Insurance Coverage? - https://t.co/AUs21nOWCr - #MedicalMarijua…
65,"Looking forward to returning to the Metro Toronto Convention Centre for #MjBizConIntl !!

Will you be in attendance… https://t.co/byNfdiPbq7"
66,"RT @JodieEmery: Still waiting for a Trudeau to decriminalize pot... 

I wrote this 6 YEARS ago, and @JustinTrudeau still refuses to end unj…"
67,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…"
68,"$ACB $ACB.to

Aurora Cannabis (@Aurora_MMJ) Welcomes Royal Assent of Canada's #CannabisAct

https://t.co/R9Jrpp1V9Y… https://t.co/O49xkjYxcA"
69,"Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they… https://t.co/5jp2jps5l0"
70,"RT @ScottTalking: Thursday on The Scott Thompson Show! @AM900CHML 
Will country be ready for legal weed by Oct. 17th?
https://t.co/gs6u1z7s…"
71,"RT @Zieloni: 🇨🇦 Kanada jako drugi kraj na świecie legalizuje marihuanę. To dowód, że stara polityka walki z narkotykami nie działa. Wspólni…"
72,RT @JoinGreenRush: #Canada has officially legalized #cannabis for recreational use! It's the second country in the world to pass a law like…
73,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…"
74,Canada's setting the stage with legalized military #marijuana use. What type of restrictions do you support? If mar… https://t.co/cWhcYJTu2j
75,"RT @CannTrust: After a long journey, October 17 is the day when #cannabis officially becomes legal. We are so thrilled to be a part of Hist…"
76,"RT @GordQuotes: It's well worth the wait
#CannabisAct 💨 https://t.co/r8g4zp1ldP"
77,"Legalization &amp; Risks: Doctors Reminding Public
 That Health Effects of Cannabis Use Are Real… https://t.co/KxkAdqZ4qh"
78,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…"
79,"Join the conversation!

https://t.co/saMA2VgnhZ

#bringpeopletogether #CannabisAct #CannabisCommunity… https://t.co/LHLMqr2lvp"
80,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…
81,RT @jonny_red32: $CBWTF nice bounce off the bottom. #CannabisAct #cannabis #market #CannabisCommunity 👉👉 Auxly Cannabis Group Inc 💯 https:/…
82,"RT @jonny_red32: $MJNA MEDICAL MARIJUANA, INC. ANNOUNCES LETTER OF INTENT WITH SALVATION BOTANICALS TO BRING ITS PRODUCTS TO THE BURGEONING…"
83,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…"
84,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…"
85,"RT @BCTruckingAssoc: Cannabis in Canada - please note:  ""It is illegal to take cannabis across Canada's international borders."" https://t.c…"
86,RT @HealthQuoteCA: Medical Marijuana: All Smoke and Mirrors or Valid Health Insurance Coverage? - https://t.co/AUs21nOWCr - #MedicalMarijua…
87,"RT @MJBizDaily: Congratulations to Canada, the first G7 country to vote for federal #cannabis legalization! 
#CannabisAct #cannabiz #cannac…"
88,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…"
89,RT @jonny_red32: $CBWTF nice bounce off the bottom. #CannabisAct #cannabis #market #CannabisCommunity 👉👉 Auxly Cannabis Group Inc 💯 https:/…
90,"RT @jonny_red32: $MJNA MEDICAL MARIJUANA, INC. ANNOUNCES LETTER OF INTENT WITH SALVATION BOTANICALS TO BRING ITS PRODUCTS TO THE BURGEONING…"
91,"RT @NICHECanada: Watch: Questions remain over #cannabis legalization. Key among them: home cultivation, impaired driving, pardons, and the…"
92,#Canada passes recreational #cannabis bill. The #CannabisAct was passed yesterday (Tuesday 19 June) with 52 votes i… https://t.co/bojZz4ehgn
93,"RT @GovCanHealth: Bill #C45, Canada’s new #CannabisAct has passed in the Senate. On coming into force, Canadians aged 18 or 19 (depending o…"
94,Cheers to our neighbors to the north! Contact for private sale. #Canada #CannabisAct #CannabisNews #Cannabis #C45… https://t.co/zyfuN5WvD1
95,"RT @occupywsib: RT #DougFord wants consultations on #marijuana sales in #Ontario https://t.co/EG5iR4iXSv #Ford, who was elected this month,…"
96,RT @HIGH_TIMES_Mag: Yesterday Canada legalized recreational cannabis! Here's what you need to know about Canada’s Cannabis Act. https://t.c…
97,"wut.
Definition of beer in #Canada could change🍺
https://t.co/onn3eXvQQb #cdnpoli #bcpoli #vanpoli #onpoli #ottawa… https://t.co/RR6mmpcDv2"
98,"Watch: Questions remain over #cannabis legalization. Key among them: home cultivation, impaired driving, pardons, a… https://t.co/V5OCF0bIhZ"
99,"RT @peterk88: discover END PLAY WINNING BLACKJACK/free now...
...deck penetration IS the secret sauce 

#ARGCRO  #IRAESP  #FifaWorldCup18…"
100,RT @HealthQuoteCA: Medical Marijuana: All Smoke and Mirrors or Valid Health Insurance Coverage? - https://t.co/AUs21nOWCr - #MedicalMarijua…
101,"discover END PLAY WINNING BLACKJACK/free now...
...deck penetration IS the secret sauce 

#ARGCRO  #IRAESP… https://t.co/47gEWmFKY8"
102,"RT #DougFord wants consultations on #marijuana sales in #Ontario https://t.co/EG5iR4iXSv #Ford, who was elected thi… https://t.co/IPPuVnNdmT"
103,@GuardianRover @bex0760 @realDonaldTrump Easy.  #LegalizeCannabis as #Canada just did (#CannabisAct).
104,La plus grande installation intérieure de culture de cannabis à des fins médicales au Québec se trouvera dans Brome… https://t.co/odISZ9yXyR
105,La plus grande installation intérieure de culture de cannabis à des fins médicales au Québec se trouvera dans Brome… https://t.co/og7Nd7MGO2
106,La plus grande installation intérieure de culture de cannabis à des fins médicales au Québec se trouvera dans Brome… https://t.co/7ZklgeiN0v
107,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…"
108,"Here comes the boom from the new ruler of Ontario, so @fordnation is going to stall #CannabisAct in Ontario??? https://t.co/FL7P34DBpm"
109,#Canadian PM @JustinTrudeau has set an #Official date and #Canada will soon be the largest country in the world wit… https://t.co/pjkEUtmM0V
110,The Senate has voted to pass Bill C-45 – Canada’s #CannabisAct. Trudeau confirms that cannabis will be legal in Can… https://t.co/fcxYDOehPX
111,Cheers to our friends to the north! Contact for private sale. #Canada #CannabisAct #CannabisNews #Cannabis #domains https://t.co/LFLhHX1MUD
112,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…"
113,The #CannabisAct has received Royal Assent. See our team’s review of Senate amendments to Bill #C45 that were rejec… https://t.co/PLm3QNlHwJ
114,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…
115,"You have the chance to do the right thing for Ontario, @fordnation. Government monopoly on cannabis is a step backw… https://t.co/jwKYnoaBvJ"
116,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…"
117,RT @CannabisCCI: What the Canadian #Cannabis #ACMPR industry needs to know about #C45 #CannabisAct and moving forward: https://t.co/T1ebdGU…
118,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…"
119,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…"
120,"I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new crimi… https://t.co/oxGYENqR16"
121,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…"
122,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
123,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
124,"#ContentmentIn4Words

This weed is smooth.

#FourTwentey #BillC45 https://t.co/OGsze3RRQ4"
125,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…"
126,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…"
127,"an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC45 #CannabisAct"
128,"RT @MidasLetter: VIDEO: What Passing of Bill C-45 means for Valens GroWorks Corp @ValensGroWorks (CNSX:VGW) https://t.co/y7p9Nc1kUL

#Canna…"
129,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
130,@NORMLcanada Official statement on legalization announcement.  Please let us know your thoughts. #cannabis #BillC45… https://t.co/ZX9VajR6U4
131,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…"
132,"RT @CannTrust: After a long journey, October 17 is the day when #cannabis officially becomes legal. We are so thrilled to be a part of Hist…"
133,"Pleased to see #billC45, read why this is so impt to the insurance industry here- https://t.co/KNzPxjCrvv… https://t.co/F2dpFKg9Ul"
